Area TotalA TotalB Unclassified Pu Mu Invalid Pc Mc
서울특별시-종로구 103195 103189 3105 1447 1134 553 49422 52747 
서울특별시-중구 83102 83095 2742 1272 962 542 40289 41919 
서울특별시-용산구 147868 147849 4513 2229 1561 715 76997 69572 
서울특별시-성동구 185599 185566 4885 2243 1631 970 88658 94239 
서울특별시-광진구 231204 231171 6368 2769 2525 1125 106675 122535 
서울특별시-동대문구 227212 227177 6108 2784 2019 1386 107972 116909 
서울특별시-중랑구 253407 253369 9129 4287 3340 1439 121691 129930 
서울특별시-성북구 295579 295524 9564 4382 3660 1474 134507 158429 
서울특별시-강북구 207963 207927 7789 3410 3150 1187 94488 111470 
서울특별시-도봉구 225258 225230 6473 2908 2376 1147 106932 116266 
서울특별시-노원구 368086 368003 10424 4691 3754 1876 170114 194546 
서울특별시-은평구 300975 300923 11168 4952 4495 1630 135883 162227 
서울특별시-서대문구 196160 196130 6271 2789 2369 1072 88811 105412 
서울특별시-마포구 243073 243026 6022 2625 2289 1174 106921 133849 
서울특별시-양천구 298998 298957 10264 4733 4100 1345 153003 154539 
서울특별시-강서구 350079 350023 11098 5110 4268 1652 162220 184866 
서울특별시-구로구 269131 269094 8199 3139 2558 2913 121884 142048 
서울특별시-금천구 147674 147632 3536 1509 1251 821 66316 79933 
서울특별시-영등포구 246016 245975 8165 3875 3089 1160 118469 125640 
서울특별시-동작구 260353 260307 6451 2778 2431 1304 117525 140443 
서울특별시-관악구 333720 333640 9275 3697 4052 1597 134107 196560 
서울특별시-서초구 270890 270848 8483 4464 2825 1063 158112 110675 
서울특별시-강남구 343292 343220 19298 10726 7188 1470 206160 134873
서울특별시-송파구 419688 419631 9199 4196 3324 1819 217610 198590 
서울특별시-강동구 300414 300362 7692 3566 2702 1357 150764 165071 
부산광역시-중구 29939 29939 1282 894 313 86 19208 10567 
부산광역시-서구 75144 75140 3711 2568 899 271 48129 26426 
부산광역시-동구 62994 62994 4224 2823 1225 179 40262 22338 
부산광역시-영도구 86766 86765 3416 2199 941 297 50903 35314 
부산광역시-부산진구 248253 248245 9922 6668 2690 635 146883 99987 
부산광역시-동래구 178185 178174 5255 3338 1493 460 108913 68881 
부산광역시-남구 185006 184995 5667 3559 1685 470 111769 72244 
부산광역시-북구 196490 196487 10879 6081 4136 566 111611 83710 
부산광역시-해운대구 260075 260066 8877 5339 2779 686 155263 103287 
부산광역시-기장군 67702 67694 1797 1156 416 245 41164 26084 
부산광역시-사하구 215750 215739 6676 3816 1830 700 125386 88444 
부산광역시-금정구 164543 164536 3994 2530 1040 473 100400 63126 
부산광역시-강서구 41321 41319 1418 949 330 144 24560 16494 
부산광역시-연제구 135456 135450 3395 2170 917 350 81370 53294 
부산광역시-수영구 113862 113856 2878 1890 745 276 70698 43059 
부산광역시-사상구 158299 158296 5615 3372 1823 456 88100 69348 
대구광역시-중구 49465 49463 1784 1468 194 127 39910 9282 
대구광역시-동구 221283 221271 10692 8374 1799 668 176179 43659 
대구광역시-서구 143533 143549 6712 5563 734 361 120615 21992 
대구광역시-남구 109084 109075 3179 2596 351 198 88347 20092 
대구광역시-북구 278737 278722 9741 7618 1367 661 220974 56240 
대구광역시-수성구 286510 286479 7744 6041 1072 586 222982 60016 
대구광역시-달서구 382911 382874 10025 7695 1355 897 304535 76363 
대구광역시-달성군 114375 114373 5639 4466 793 427 92161 21290 
인천광역시-중구 55585 55585 1625 926 499 214 30613 24538 
인천광역시-동구 46839 46837 1338 837 364 157 25911 20584 
인천광역시-남구 243697 243682 7806 4749 2438 679 133464 108637 
인천광역시-연수구 172072 172068 4423 2380 1622 491 91538 79429 
인천광역시-남동구 293666 293649 8401 4327 3396 739 148815 143099 
인천광역시-부평구 330430 330418 9094 4840 3481 956 158806 168820 
인천광역시-계양구 197486 197466 5752 2701 2579 554 92670 103499 
인천광역시-서구 262515 262508 7844 4159 3065 709 131340 129603 
인천광역시-강화군 42709 42705 2338 1632 456 241 29666 12534 
인천광역시-옹진군 12903 12903 501 338 82 115 9197 3470 
광주광역시-동구 68402 68402 2230 209 1636 383 6693 61023 
광주광역시-서구 194613 194600 4480 445 3618 497 15648 176053 
광주광역시-남구 137626 137608 4864 478 3817 515 11307 126439 
광주광역시-북구 276959 276928 7696 666 6398 714 20378 255180 
광주광역시-광산구 220879 220876 7494 667 6027 721 15548 204055 
대전광역시-동구 150352 150344 5980 3374 2216 417 77725 71369 
대전광역시-중구 159464 159449 3796 2200 1228 463 85296 73163 
대전광역시-서구 293775 293767 7991 4231 3114 743 144068 148011 
대전광역시-유성구 179328 179329 4266 2157 1747 465 82927 96401 
대전광역시-대덕구 121481 121479 3624 1934 1277 442 62482 59220 
울산광역시-중구 144608 144599 3980 2548 1001 509 90238 53504 
울산광역시-남구 211462 211458 5596 3378 1554 615 129515 80536 
울산광역시-동구 107309 107305 3032 1702 969 398 58969 47392 
울산광역시-북구 107885 107875 3764 1568 883 350 57809 49202 
울산광역시-울주군 123708 123701 4068 2595 907 633 77446 45008 
세종특별자치시-세종특별자치시 64994 64990 1820 1033 557 293 33587 30787 
경기도-수원시장안구 175101 175095 5557 3039 2063 503 85547 88360 
경기도-수원시권선구 192315 192299 5829 3093 2219 584 94970 96064 
경기도-수원시팔달구 121482 121476 3644 2063 1262 355 63992 57146 
경기도-수원시영통구 166746 166741 3986 2002 1632 408 74873 89927 
경기도-성남시수정구 138087 138080 7421 3719 3221 438 62528 74640 
경기도-성남시중원구 147578 147567 6854 3351 2935 516 68109 78261 
경기도-성남시분당구 306351 306328 8046 4209 3014 795 162103 142315 
경기도-의정부시 249251 249229 15087 8140 6200 801 127092 120550 
경기도-안양시만안구 156865 156859 4714 2600 1687 472 76396 79472 
경기도-안양시동안구 221576 221572 5920 2977 2404 583 103793 116389 
경기도-부천시원미구 268019 268007 6474 3127 2707 727 121498 144862 
경기도-부천시소사구 140144 140133 3493 1763 1329 488 64835 74327 
경기도-부천시오정구 109030 109015 3395 1745 1323 349 50291 57987 
경기도-광명시 216931 216922 5806 2785 2380 683 94631 120851 
경기도-평택시 239558 239544 9641 6152 2753 773 135781 101951 
경기도-양주시 111892 111883 6476 3813 2322 387 61889 49301 
경기도-동두천시 52988 52984 2011 1175 552 291 31188 21296 
경기도-안산시상록구 211388 211371 6251 3113 2646 628 97839 111869 
경기도-안산시단원구 184906 184903 8494 4168 3732 533 87893 95849 
경기도-고양시덕양구 235055 235041 8512 4418 3261 768 114871 118515 
경기도-고양시일산동구 167102 167095 6388 3054 2837 448 80435 85504 
경기도-고양시일산서구 171828 171813 6399 3066 2891 418 81992 88785 
경기도-과천시 44854 44853 967 524 290 165 22507 21923 
경기도-의왕시 94575 94567 2285 1227 847 248 45541 48412 
경기도-구리시 113702 113698 3576 1956 1310 336 56748 56219 
경기도-남양주시 335335 335324 10759 5932 3834 1099 171230 160913 
경기도-오산시 106491 106486 4423 2379 1768 290 52301 53507 
경기도-화성시 288726 288704 7500 3999 2600 785 140488 146338 
경기도-시흥시 215674 215666 5398 2710 2130 638 102267 111854 
경기도-군포시 176100 176080 5537 2738 2294 467 80722 94255 
경기도-하남시 88513 88508 2054 1095 667 322 47676 40221 
경기도-파주시 222572 222553 7685 4574 2455 702 113872 106323 
경기도-여주군 62883 62882 2395 1633 458 273 40504 21766 
경기도-이천시 113273 113269 4992 3288 1243 553 66241 45916 
경기도-용인시처인구 118370 118365 4636 2761 1359 460 67598 49628 
경기도-용인시수지구 195881 195876 3968 2157 1451 414 101487 93337 
경기도-용인시기흥구 217012 217011 5700 2850 2362 461 104948 110907 
경기도-안성시 102469 102464 4897 3042 1494 399 57456 43967 
경기도-김포시 164878 164872 5681 3319 1894 488 88962 74859 
경기도-광주시 157831 157805 3908 2146 1212 619 84388 72299 
경기도-포천시 89174 89172 4013 2721 914 386 56633 31751 
경기도-연천군 27718 27716 606 382 157 178 17989 9359 
경기도-양평군 62451 62448 2219 1444 474 324 40862 20857 
경기도-가평군 37319 37316 1720 1082 452 298 24987 11696 
강원도-춘천시 163991 163981 10088 6032 3451 517 93417 69365 
강원도-원주시 182963 182937 4835 2947 1380 565 105702 75943 
강원도-강릉시 129787 129776 4355 2994 941 457 84045 43687 
강원도-동해시 55085 55082 1725 1192 351 164 34253 17005 
강원도-삼척시 44444 44443 1692 1054 295 329 28849 14904 
강원도-태백시 28994 28993 1234 875 268 102 18850 9935 
강원도-정선군 24118 24116 1158 733 275 130 15188 8610 
강원도-속초시 50024 50025 1341 918 304 176 30505 18541 
강원도-고성군 19177 19177 1528 997 433 90 12649 6285 
강원도-양양군 18056 18055 625 385 147 99 12007 5869 
강원도-인제군 19764 19762 812 484 189 133 12156 7320 
강원도-홍천군 42408 42406 1638 1056 351 236 26715 15201 
강원도-횡성군 27725 27723 1281 861 311 147 17876 9502 
강원도-영월군 24854 24853 1113 724 257 124 15516 9031 
강원도-평창군 26084 26084 1189 794 250 130 16406 9381 
강원도-화천군 15229 15228 629 387 142 126 9838 5139 
강원도-양구군 13666 13665 572 369 137 71 8547 4957 
강원도-철원군 28064 28063 979 671 216 103 18289 9536 
충청북도-청주시상당구 136418 136414 5384 2992 1559 371 74192 61436
충청북도-청주시흥덕구 245349 245334 7749 4252 2774 639 124308 120519 
충청북도-충주시 122822 122824 3589 2288 902 399 73561 48264
충청북도-제천시 82754 82747 2724 1745 610 361 50284 31682 
충청북도-단양군 19763 19763 1269 842 284 120 12957 6510 
충청북도-청원군 91248 91243 4102 2348 1380 410 46968 43349 
충청북도-영동군 32044 32044 2152 1428 495 210 20397 11169 
충청북도-보은군 22431 22431 1572 999 390 172 13783 8261 
충청북도-옥천군 34030 34030 1561 1011 343 230 21799 11691 
충청북도-음성군 52945 52943 1989 1197 514 317 30459 21825 
충청북도-진천군 36543 36543 1743 1054 523 161 20614 15560
충청북도-괴산군 24502 24502 1601 1014 390 172 15442 8646 
충청북도-증평군 19576 19576 812 500 227 86 11175 8223 
